Customer_Number,Company_Name,Sales_Rep,Sales_Rep_Num
PPW100104,Adams-Dach,Bartell,EMP00007
PPW100072,Armstrong- Rogahn and Marks,Corkery,EMP00017
PPW100032,Aufderhar and Sons,Hegmann,EMP00034
PPW100105,Barrows-Cartwright,Hettinger,EMP00035
PPW100078,Bartoletti- Kulas and Bernier,Lang,EMP00041
PPW100059,Bashirian Inc,Roberts,EMP00048
PPW100108,Bechtelar- Spinka and Roberts,Schmitt,EMP00053
PPW100125,Bogisich and Sons,Skiles,EMP00055
PPW100045,Boyle- Fay and Witting,Welch,EMP00064
PPW100071,Braun- Wiza and Kuvalis,Bartell,EMP00007
PPW100109,Breitenberg- Wolf and Torphy,Corkery,EMP00017
PPW100123,Breitenberg-Barrows,Hegmann,EMP00034
PPW100051,Breitenberg-Beatty,Hettinger,EMP00035
PPW100096,Brekke-Effertz,Lang,EMP00041
PPW100098,Carroll- Eichmann and Hudson,Roberts,EMP00048
PPW100068,Christiansen Group,Schmitt,EMP00053
PPW100100,Cole LLC,Skiles,EMP00055
PPW100048,Cole-Mann,Welch,EMP00064
PPW100067,Cormier LLC,Bartell,EMP00007
PPW100047,Corwin PLC,Corkery,EMP00017
PPW100031,Crist-Moen,Hegmann,EMP00034
PPW100064,Crona- Lindgren and Rolfson,Hettinger,EMP00035
PPW100046,Daugherty Ltd,Lang,EMP00041
PPW100097,Dietrich-Franecki,Roberts,EMP00048
PPW100055,Dooley- Abshire and Hartmann,Schmitt,EMP00053
PPW100077,Doyle- Will and Schimmel,Skiles,EMP00055
PPW100076,Ebert-Beahan,Welch,EMP00064
PPW100062,Ernser Inc,Bartell,EMP00007
PPW100037,Fisher- Koelpin and Windler,Corkery,EMP00017
PPW100069,Flatley Group,Hegmann,EMP00034
PPW100042,Friesen-Bergnaum,Hettinger,EMP00035
PPW100106,Gibson- Johnston and Hartmann,Lang,EMP00041
PPW100033,Gibson- Lebsack and Trantow,Roberts,EMP00048
PPW100099,Grant-Ratke,Schmitt,EMP00053
PPW100121,Gutmann and Sons,Skiles,EMP00055
PPW100117,Harber- Hermann and Sanford,Welch,EMP00064
PPW100090,Hartmann Ltd,Bartell,EMP00007
PPW100049,Heidenreich-Schaden,Corkery,EMP00017
PPW100101,Hermiston-Kirlin,Hegmann,EMP00034
PPW100120,Hill-Murphy,Hettinger,EMP00035
PPW100085,Hilpert- Stamm and Schaefer,Lang,EMP00041
PPW100114,Hudson-Corkery,Roberts,EMP00048
PPW100081,Hudson-Kiehn,Schmitt,EMP00053
PPW100034,Hyatt-Bechtelar,Skiles,EMP00055
PPW100030,Jast-Douglas,Welch,EMP00064
PPW100026,Johnston- Stanton and Stehr,Bartell,EMP00007
PPW100028,Jones PLC,Corkery,EMP00017
PPW100102,Kautzer-Nikolaus,Hegmann,EMP00034
PPW100043,Keebler-Leuschke,Hettinger,EMP00035
PPW100060,Kling LLC,Lang,EMP00041
PPW100094,Klocko-Padberg,Roberts,EMP00048
PPW100050,Koepp and Sons,Schmitt,EMP00053
PPW100041,Koss PLC,Skiles,EMP00055
PPW100084,Krajcik- Lindgren and Lemke,Welch,EMP00064
PPW100110,Kreiger- Leffler and Ferry,Bartell,EMP00007
